"timestamp","product_id","user_id","event","city","price","term","message"
"2015-11-22 17:41:42","673a8b80-1aaa-11eb-a09b-acde48001122",744952,"buy","Madison",\N,\N,"{""date"": ""2015-11-22 17:41:42"", ""product_id"": ""673a8b80-1aaa-11eb-a09b-acde48001122"", ""user_id"": 744952, ""event"": ""buy"", ""extra_data"": {""city"": ""Madison"", ""price"": 77.95}}"
"2015-11-23 05:39:13","6c4f606e-1aaa-11eb-8845-acde48001122",203581,"search","Cheyenne",\N,"soldiers","{""date"": ""2015-11-23 05:39:13"", ""product_id"": ""6c4f606e-1aaa-11eb-8845-acde48001122"", ""user_id"": 203581, ""event"": ""search"", ""extra_data"": {""city"": ""Cheyenne"", ""term"": ""soldiers""}}"
"2015-11-23 17:35:45","601d1f3e-1aaa-11eb-87ad-acde48001122",382775,"search","Raleigh",\N,"despair","{""date"": ""2015-11-23 17:35:45"", ""product_id"": ""601d1f3e-1aaa-11eb-87ad-acde48001122"", ""user_id"": 382775, ""event"": ""search"", ""extra_data"": {""city"": ""Raleigh"", ""term"": ""despair""}}"
"2015-11-29 05:17:20","6bbba342-1aaa-11eb-98a7-acde48001122",609516,"remove_item_from_cart","Topeka",\N,\N,"{""date"": ""2015-11-29 05:17:20"", ""product_id"": ""6bbba342-1aaa-11eb-98a7-acde48001122"", ""user_id"": 609516, ""event"": ""remove_item_from_cart"", ""extra_data"": {""city"": ""Topeka""}}"
"2015-12-02 19:50:04","6b2d287e-1aaa-11eb-a964-acde48001122",375966,"remove_item_from_cart","Annapolis",\N,\N,"{""date"": ""2015-12-02 19:50:04"", ""product_id"": ""6b2d287e-1aaa-11eb-a964-acde48001122"", ""user_id"": 375966, ""event"": ""remove_item_from_cart"", ""extra_data"": {""city"": ""Annapolis""}}"
"2015-12-04 15:38:28","6a9db838-1aaa-11eb-b83d-acde48001122",851887,"add_item_to_cart","Columbus",\N,\N,"{""date"": ""2015-12-04 15:38:28"", ""product_id"": ""6a9db838-1aaa-11eb-b83d-acde48001122"", ""user_id"": 851887, ""event"": ""add_item_to_cart"", ""extra_data"": {""city"": ""Columbus""}}"
"2015-12-09 11:20:51","67b5a82e-1aaa-11eb-aba1-acde48001122",586696,"search","Montgomery",\N,"yellow","{""date"": ""2015-12-09 11:20:51"", ""product_id"": ""67b5a82e-1aaa-11eb-aba1-acde48001122"", ""user_id"": 586696, ""event"": ""search"", ""extra_data"": {""city"": ""Montgomery"", ""term"": ""yellow""}}"
"2015-12-18 07:06:15","69c1559e-1aaa-11eb-ab51-acde48001122",489801,"buy","Trenton",\N,\N,"{""date"": ""2015-12-18 07:06:15"", ""product_id"": ""69c1559e-1aaa-11eb-ab51-acde48001122"", ""user_id"": 489801, ""event"": ""buy"", ""extra_data"": {""city"": ""Trenton"", ""price"": 0.85}}"
"2015-12-21 11:42:15","6c2fb806-1aaa-11eb-8f0a-acde48001122",470297,"add_item_to_cart","Lincoln",\N,\N,"{""date"": ""2015-12-21 11:42:15"", ""product_id"": ""6c2fb806-1aaa-11eb-8f0a-acde48001122"", ""user_id"": 470297, ""event"": ""add_item_to_cart"", ""extra_data"": {""city"": ""Lincoln""}}"
"2015-12-22 14:57:36","6b21b17e-1aaa-11eb-8413-acde48001122",663974,"search","Frankfort",\N,"benjie","{""date"": ""2015-12-22 14:57:36"", ""product_id"": ""6b21b17e-1aaa-11eb-8413-acde48001122"", ""user_id"": 663974, ""event"": ""search"", ""extra_data"": {""city"": ""Frankfort"", ""term"": ""benjie""}}"
"2015-12-25 19:24:36","65a720c6-1aaa-11eb-9134-acde48001122",15528,"search","Columbus",\N,"cookbook","{""date"": ""2015-12-25 19:24:36"", ""product_id"": ""65a720c6-1aaa-11eb-9134-acde48001122"", ""user_id"": 15528, ""event"": ""search"", ""extra_data"": {""city"": ""Columbus"", ""term"": ""cookbook""}}"
"2015-12-26 03:32:18","66df86e8-1aaa-11eb-a748-acde48001122",841496,"search","Des Moines",\N,"bmw","{""date"": ""2015-12-26 03:32:18"", ""product_id"": ""66df86e8-1aaa-11eb-a748-acde48001122"", ""user_id"": 841496, ""event"": ""search"", ""extra_data"": {""city"": ""Des Moines"", ""term"": ""bmw""}}"
"2015-12-30 00:07:01","61ff1f46-1aaa-11eb-a591-acde48001122",628645,"view","Sacramento",\N,\N,"{""date"": ""2015-12-30 00:07:01"", ""product_id"": ""61ff1f46-1aaa-11eb-a591-acde48001122"", ""user_id"": 628645, ""event"": ""view"", ""extra_data"": {""city"": ""Sacramento""}}"
"2016-01-18 13:31:17","64d19514-1aaa-11eb-aa32-acde48001122",381496,"buy","Phoenix",\N,\N,"{""date"": ""2016-01-18 13:31:17"", ""product_id"": ""64d19514-1aaa-11eb-aa32-acde48001122"", ""user_id"": 381496, ""event"": ""buy"", ""extra_data"": {""city"": ""Phoenix"", ""price"": 55.95}}"
"2016-01-30 23:49:38","6aff9b52-1aaa-11eb-8aa8-acde48001122",630798,"search","Lincoln",\N,"basic","{""date"": ""2016-01-30 23:49:38"", ""product_id"": ""6aff9b52-1aaa-11eb-8aa8-acde48001122"", ""user_id"": 630798, ""event"": ""search"", ""extra_data"": {""city"": ""Lincoln"", ""term"": ""basic""}}"
"2016-02-03 04:49:38","6a1d1fc0-1aaa-11eb-abda-acde48001122",371567,"view","Harrisburg",\N,\N,"{""date"": ""2016-02-03 04:49:38"", ""product_id"": ""6a1d1fc0-1aaa-11eb-abda-acde48001122"", ""user_id"": 371567, ""event"": ""view"", ""extra_data"": {""city"": ""Harrisburg""}}"
"2016-02-17 17:19:39","66c047ee-1aaa-11eb-aeaa-acde48001122",270311,"add_item_to_cart","Springfield",\N,\N,"{""date"": ""2016-02-17 17:19:39"", ""product_id"": ""66c047ee-1aaa-11eb-aeaa-acde48001122"", ""user_id"": 270311, ""event"": ""add_item_to_cart"", ""extra_data"": {""city"": ""Springfield""}}"
"2016-02-24 13:16:42","67f677b4-1aaa-11eb-890b-acde48001122",764542,"view","Columbus",\N,\N,"{""date"": ""2016-02-24 13:16:42"", ""product_id"": ""67f677b4-1aaa-11eb-890b-acde48001122"", ""user_id"": 764542, ""event"": ""view"", ""extra_data"": {""city"": ""Columbus""}}"
"2016-02-27 04:08:44","60e6ef80-1aaa-11eb-a3f7-acde48001122",270747,"buy","Albany",\N,\N,"{""date"": ""2016-02-27 04:08:44"", ""product_id"": ""60e6ef80-1aaa-11eb-a3f7-acde48001122"", ""user_id"": 270747, ""event"": ""buy"", ""extra_data"": {""city"": ""Albany"", ""price"": 22.95}}"
"2016-03-03 13:43:44","6786c270-1aaa-11eb-b58e-acde48001122",234047,"buy","Phoenix",22.25,\N,"{""date"": ""2016-03-03 13:43:44"", ""product_id"": ""6786c270-1aaa-11eb-b58e-acde48001122"", ""user_id"": 234047, ""event"": ""buy"", ""extra_data"": {""city"": ""Phoenix"", ""price"": 22.25}}"
"2016-03-05 03:06:55","6c39e9d2-1aaa-11eb-9a48-acde48001122",764510,"add_item_to_cart","Concord",\N,\N,"{""date"": ""2016-03-05 03:06:55"", ""product_id"": ""6c39e9d2-1aaa-11eb-9a48-acde48001122"", ""user_id"": 764510, ""event"": ""add_item_to_cart"", ""extra_data"": {""city"": ""Concord""}}"
"2016-03-12 21:54:39","6c59bbb8-1aaa-11eb-b851-acde48001122",478605,"buy","Salt Lake City",11.25,\N,"{""date"": ""2016-03-12 21:54:39"", ""product_id"": ""6c59bbb8-1aaa-11eb-b851-acde48001122"", ""user_id"": 478605, ""event"": ""buy"", ""extra_data"": {""city"": ""Salt Lake City"", ""price"": 11.25}}"
"2016-03-21 16:16:28","6ab4f462-1aaa-11eb-933f-acde48001122",240237,"view","Tallahassee",\N,\N,"{""date"": ""2016-03-21 16:16:28"", ""product_id"": ""6ab4f462-1aaa-11eb-933f-acde48001122"", ""user_id"": 240237, ""event"": ""view"", ""extra_data"": {""city"": ""Tallahassee""}}"
"2016-03-30 02:20:07","6adb4252-1aaa-11eb-81a3-acde48001122",162525,"buy","Lansing",\N,\N,"{""date"": ""2016-03-30 02:20:07"", ""product_id"": ""6adb4252-1aaa-11eb-81a3-acde48001122"", ""user_id"": 162525, ""event"": ""buy"", ""extra_data"": {""city"": ""Lansing"", ""price"": 0.83}}"
"2016-04-06 12:19:00","673f602e-1aaa-11eb-a00e-acde48001122",135346,"add_item_to_cart","Hartford",\N,\N,"{""date"": ""2016-04-06 12:19:00"", ""product_id"": ""673f602e-1aaa-11eb-a00e-acde48001122"", ""user_id"": 135346, ""event"": ""add_item_to_cart"", ""extra_data"": {""city"": ""Hartford""}}"
"2016-04-12 12:27:11","68c62270-1aaa-11eb-aeaa-acde48001122",81068,"view","Indianapolis",\N,\N,"{""date"": ""2016-04-12 12:27:11"", ""product_id"": ""68c62270-1aaa-11eb-aeaa-acde48001122"", ""user_id"": 81068, ""event"": ""view"", ""extra_data"": {""city"": ""Indianapolis""}}"
"2016-04-13 04:01:18","6830a290-1aaa-11eb-83ba-acde48001122",809532,"add_item_to_cart","Raleigh",\N,\N,"{""date"": ""2016-04-13 04:01:18"", ""product_id"": ""6830a290-1aaa-11eb-83ba-acde48001122"", ""user_id"": 809532, ""event"": ""add_item_to_cart"", ""extra_data"": {""city"": ""Raleigh""}}"
"2016-05-05 21:41:17","6adeb77a-1aaa-11eb-a274-acde48001122",117916,"add_item_to_cart","Albany",\N,\N,"{""date"": ""2016-05-05 21:41:17"", ""product_id"": ""6adeb77a-1aaa-11eb-a274-acde48001122"", ""user_id"": 117916, ""event"": ""add_item_to_cart"", ""extra_data"": {""city"": ""Albany""}}"
"2016-05-20 00:24:45","659fd280-1aaa-11eb-9fec-acde48001122",821369,"search","Tallahassee",\N,"edition","{""date"": ""2016-05-20 00:24:45"", ""product_id"": ""659fd280-1aaa-11eb-9fec-acde48001122"", ""user_id"": 821369, ""event"": ""search"", ""extra_data"": {""city"": ""Tallahassee"", ""term"": ""edition""}}"
